Group,Group Id
MANO-D,1
23rd of September Communist League,2
Unknown,3
Black Nationalists,4
Tupamaros (Uruguay),5
New Year's Gang,6
"Weather Underground, Weathermen",7
Left-Wing Militants,8
Armed Commandos of Liberation,9
Commune 1,10
Eritrean Liberation Front,11
Strikers,12
Student Radicals,13
White extremists,14
Armed Forces of National Liberation- Venezuela (FALN),15
New People's Army (NPA),16
Armed Revolutionary Independence Movement (MIRA),17
Popular Front for the Liberation of Palestine (PFLP),18
"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",19
1st of May Group,20
Rebel Armed Forces of Guatemala (FAR),21
Ku Klux Klan,22
Popular Revolutionary Vanguard (VPR),23
Revolutionary Force 9,24
Puerto Rican Nationalists,25
Chicano Liberation Front,26
Puerto Rican Resistance Movement,27
Black Panthers,28
Dominican Popular Movement (MPD),29
Argentine Liberation Front (FAL),30
Argentine National Organization Movement (MANO),31
Japanese Red Army (JRA),32
Saor Eire (Irish Republican Group),33
New World Liberation Front (NWLF),34
Cuban Exiles,35
The World United Formosans for Independence (WUFI),36
Palestinians,37
Extraparliamentary Opposition (APO),38
Revolutionary Force 26,39
Black Afro Militant Movement,40
Stop the War Coalition,41
Cuban Action,42
Jewish Defense League (JDL),43
Right-wing extremists,44
Montoneros (Argentina),45
Kabataang Makabayan (KM),46
Irish Republican Army (IRA),47
Ulster Volunteer Force (UVF),48
National Committee to Combat Fascism,49
Revolutionary Force Seven,50
Seattle Liberation Front,51
Ejercito de Liberacion Nacional (Bolivia),52
Arabs,53
Sandinista National Liberation Front (FSLN),54
American Servicemen's Union (ASU),55
GAC,56
Revolutionary Armed Forces- Argentina (FAR-A),57
South Moluccans,58
Croatian Nationalists,59
SFT,60
Jonathan Jackson Brigade,61
Peronist Armed Forces (FAP),62
White Panther Party,63
Revolutionary Action Party,64
Turkish People's Liberation Army,65
Ejercito Revolucionaria del Pueblo (ERP) (Argentina),66
Palestine Liberation Organization (PLO),67
Welsh Extremists,68
Protestant extremists,69
Siah KAL,70
Turkish People's Liberation Front (TPLF)(THKP-C),71
Neo-Nazi extremists,72
Front de Liberation du Quebec (FLQ),73
Quartermoon Society,74
Students for a Democratic Society (SDS) (German),75
Iranians,76
Black Liberation Army,77
Baader-Meinhof Group,78
Basque Fatherland and Freedom (ETA),79
Irish Republican Extremists,80
Socialist Patients' Collective (SPK),81
Revolutionary Committee of Mozambique (COREMO),82
Tony El Pelou Band,83
BAY Bombers,84
Movement of the Revolutionary Left (MIR) (Venezuela),85
Official Irish Republican Army (OIRA),86
Catalan Liberation Front (FAC),87
Black Cells,88
Secret Cuban Government,89
Students,90
RYF,91
Black Revolutionary Assault Team,92
Left-wing extremists,93
People's Revolutionary Party,94
Chicano Radicals,95
Students for a Democratic Society,96
Regulators,97
Revolutionary Communist League (LCR) (Spain),98
Black September,99
Al-Fatah,100
Anti-Communist extremists,101
Iranian extremists,102
Sons of Liberty,103
Puerto Rican Liberation Front,104
2nd of June Movement,105
Jewish Armed Resistance,106
Comrades in Arms,107
Secret Army Organization,108
Red Hand Commandos,109
People's Liberation Army (United States),110
Jordanian National Liberation Movement,111
Ulster Freedom Fighters (UFF),112
Young Cuba,113
Turkish Leftists,114
Comite Argentino de Lucha Anti-Imperialisto,115
Mujahedin-e Khalq (MEK),116
Red Flag (Venezuela),117
National Front for the Liberation of Cuba (FLNC),118
OPR-33,119
Puerto Rican Revolutionary Movement,120
Popular Revolutionary Resistance Group,121
"Masada, Action and Defense Movement",122
Iberian Liberation Movement (MIL),123
National Liberation Army of Colombia (ELN),124
National Integration Front (FIN),125
"Resistance, Liberation and Independence Organization (AAA)",126
Republic of New Afrika,127
Red June of 14 June,128
Popular Liberation Army (EPL),129
Black Muslims,130
Coalition of National Brigades,131
Armenians,132
International Revolutionary Action Group (GARI),133
Black December,134
American Indian Movement,135
Greek Anti-Dictatorial Youth (EAN),136
Front for Armenian Liberation,137
Shan Insurgents,138
National Youth Resistance Organization,139
Revolutionary Patriotic Anti-Fascist Front (FRAP),140
Revolutionary Student Front,141
Zero Point,142
Armed Proletarian Nuclei (NAP),143
Red Cell,144
Proletarian Action Group,145
Lebanese Socialist Revolutionary Organization,146
Zebra killers,147
Armenian Group,148
Symbionese Liberation Army (SLA),149
Revolutionary Cells,150
Revolutionary Peoples Army,151
Red Brigades,152
Muslim Guerrillas,153
Breton Liberation Front (FLB),154
People's Resistance Organized Army,155
