eventid,Number Of Hostages Killed,Number Of Hostages Killed (US),Hours of Kidnapping,Days of Kidnapping,Country That Kidnappers Diverted To,Country of Kidnapping Resolution,Ransom Demanded?,Ransom Amount,Ransom Amount (US),Ransom Paid,Ransom Paid (US),Kidnapping Outcome,Number Released/Escaped/Rescued
197000000002,1.0,0.0,,,Unknown,Mexico,1.0,800000.0,,,,Unknown,
197001220001,1.0,0.0,,,Unknown,Venezuela,1.0,110000.0,,110000.0,,Hostage(s) released by perpetrators,1.0
197003030001,1.0,0.0,,,Unknown,Spain,1.0,0.0,,,,Unknown,
197003060001,1.0,1.0,0.0,2.0,Unknown,Guatemala,1.0,0.0,,,,Hostage(s) released by perpetrators,1.0
197003110001,1.0,0.0,0.0,4.0,Unknown,Brazil,1.0,0.0,,,,Hostage(s) released by perpetrators,1.0
197003140001,5.0,1.0,0.0,17.0,Unknown,Ethiopia,1.0,0.0,,,,Hostage(s) released by perpetrators,5.0
197003140004,13.0,13.0,,1.0,Cambodia,Cambodia,0.0,,,,,Hostage(s) released by perpetrators,
197003240002,1.0,1.0,0.0,2.0,Unknown,Dominican Republic,1.0,0.0,,,,Hostage(s) released by perpetrators,1.0
197003240003,1.0,0.0,0.0,4.0,Unknown,Argentina,1.0,0.0,,,,Hostage(s) released by perpetrators,1.0
197003290001,1.0,0.0,,,Unknown,Argentina,1.0,0.0,,,,Successful Rescue,1.0
197003310001,1.0,0.0,,,Unknown,Guatemala,1.0,700000.0,,,,Hostage(s) killed (not during rescue attempt),1.0
197003310002,129.0,0.0,,,South Korea,South Korea,0.0,,,,,Hostage(s) released by perpetrators,
197004000001,1.0,1.0,0.0,5.0,Unknown,Ethiopia,0.0,,,,,Hostage(s) released by perpetrators,1.0
197004050001,1.0,1.0,,,Unknown,Brazil,0.0,,,,,Unknown,
197005290001,1.0,0.0,,,Unknown,Argentina,0.0,,,,,Hostage(s) killed (not during rescue attempt),1.0
197005290002,60.0,0.0,0.0,,Unknown,Unknown,0.0,,,,,Unknown,
197006070002,1.0,1.0,22.0,0.0,Unknown,Jordan,1.0,0.0,,,,Hostage(s) released by perpetrators,1.0
197006090001,1.0,0.0,,,Unknown,Venezuela,1.0,12000.0,,12000.0,,Unknown,
197006090004,60.0,0.0,0.0,3.0,Unknown,Unknown,0.0,,,,,Hostage(s) released by perpetrators,60.0
197006090005,60.0,0.0,0.0,3.0,Unknown,Unknown,0.0,,,,,Hostage(s) released by perpetrators,60.0
197006110001,1.0,0.0,0.0,5.0,Unknown,Brazil,1.0,0.0,,,,Hostage(s) released by perpetrators,1.0
197007100001,1.0,0.0,,,Unknown,Colombia,0.0,,,,,Unknown,
197007110001,1.0,1.0,,,Unknown,Guatemala,0.0,,,,,Unknown,
197007210001,2.0,0.0,0.0,1.0,Unknown,Bolivia,1.0,0.0,,,,Hostage(s) released by perpetrators,10.0
197007220001,55.0,0.0,,,Unknown,Greece,0.0,,,,,Hostage(s) released by perpetrators,
197007230001,1.0,0.0,0.0,1.0,Unknown,Nicaragua,1.0,15000.0,,15000.0,,Hostage(s) released by perpetrators,1.0
197007240001,1.0,1.0,,,Unknown,Brazil,1.0,0.0,,,,Unknown,
197007280001,1.0,0.0,0.0,7.0,Unknown,Uruguay,1.0,0.0,,,,Hostage(s) released by perpetrators,1.0
197007310001,1.0,0.0,0.0,6.0,Unknown,Uruguay,0.0,,,,,Unknown,
197007310002,1.0,0.0,0.0,202.0,Unknown,Uruguay,1.0,250000.0,,,,Hostage(s) released by perpetrators,1.0
197007310003,1.0,1.0,0.0,10.0,Unknown,Uruguay,1.0,0.0,,,,Hostage(s) killed (not during rescue attempt),1.0
197008070003,2.0,0.0,,,Unknown,Unknown,0.0,,,,,Unknown,
197008190001,1.0,1.0,,,Unknown,Uruguay,1.0,0.0,,,,Hostage(s) released by perpetrators,1.0
197008210001,-99.0,0.0,0.0,0.0,Unknown,Unknown,0.0,,,,,Unknown,
197008250001,1.0,0.0,,,Unknown,Mexico,0.0,,,,,Unknown,
197009000001,1.0,1.0,0.0,8.0,Unknown,Jordan,0.0,,,,,Hostage(s) released by perpetrators,1.0
197009060001,155.0,-99.0,,,Jordan,Jordan,0.0,,,,,Hostage(s) released by perpetrators,155.0
197009060002,155.0,0.0,,,Jordan,Jordan,0.0,,,,,Hostage(s) released by perpetrators,155.0
197009060003,175.0,0.0,,,Egypt,Egypt,0.0,,,,,Hostage(s) released by perpetrators,175.0
197009060004,-99.0,0.0,,,England,England,0.0,,,,,Hostage(s) escaped (not during rescue attempt),
197009110001,1.0,1.0,0.0,1.0,Unknown,Jordan,1.0,0.0,,,,Hostage(s) released by perpetrators,1.0
197009120001,1.0,0.0,,,Unknown,Argentina,0.0,,,,,Unknown,
197009120002,3.0,0.0,,,Unknown,Great Britain,1.0,0.0,,,,Hostage(s) released by perpetrators,3.0
197009260001,1.0,0.0,,,Unknown,Uruguay,1.0,0.0,,,,Unknown,
197009270001,-99.0,0.0,,,Arrested before boarding,Arrested before boarding,0.0,,,,,Unknown,
197010050001,1.0,0.0,0.0,59.0,Unknown,Canada,0.0,,,,,Hostage(s) released by perpetrators,1.0
197010100001,1.0,0.0,,,Unknown,Canada,0.0,,,,,Hostage(s) killed (not during rescue attempt),1.0
197010100002,44.0,0.0,,,Iraq,Iraq,0.0,,,,,Hostage(s) released by perpetrators,
197011000001,1.0,1.0,,,Unknown,Iran,0.0,,,,,Unknown,
197011200003,2.0,2.0,0.0,,Unknown,Unknown,0.0,,,,,Unknown,
197012010001,1.0,0.0,0.0,23.0,Unknown,Spain,1.0,0.0,,,,Hostage(s) released by perpetrators,1.0
197012070001,1.0,0.0,0.0,42.0,Unknown,Brazil,1.0,0.0,,,,Hostage(s) released by perpetrators,1.0
197101080001,1.0,0.0,0.0,141.0,Unknown,Uruguay,1.0,0.0,,,,Hostage(s) released by perpetrators,1.0
197101150001,5.0,0.0,,,Unknown,Zambia,0.0,,,,,Unknown,
197101220003,-99.0,0.0,,,Libya,Libya,0.0,,,,,Unknown,
197101270001,1.0,0.0,,,Unknown,Unknown,0.0,,,,,Hostage(s) released by perpetrators,1.0
197102030001,1.0,0.0,,,Unknown,Uruguay,1.0,100000.0,,100000.0,,Unknown,
197102100002,-99.0,0.0,0.0,,Unknown,Unknown,0.0,,,,,Hostage(s) released by perpetrators,
197102110001,1.0,0.0,0.0,23.0,Unknown,Venezuela,1.0,400000.0,,400000.0,,Hostage(s) released by perpetrators,1.0
197102150001,1.0,1.0,17.0,0.0,Unknown,Turkey,1.0,0.0,,,,Hostage(s) released by perpetrators,1.0
197102200001,1.0,0.0,,,Unknown,Costa Rica,0.0,,,,,Unknown,
197102210001,3.0,0.0,,,Unknown,Venezuela,1.0,100000.0,,100000.0,,Hostage(s) released by perpetrators,1.0
197103010001,1.0,0.0,,,Unknown,Venezuela,1.0,80000.0,,80000.0,,Hostage(s) released by perpetrators,1.0
197103040001,4.0,4.0,0.0,5.0,Unknown,Turkey,1.0,0.0,,,,Hostage(s) released by perpetrators,4.0
197103100001,1.0,0.0,,,Unknown,Uruguay,0.0,,,,,Unknown,
197103280001,6.0,0.0,,,Unknown,Unknown,0.0,,,,,Hostage(s) released by perpetrators,6.0
197103300005,24.0,0.0,,,China,China,0.0,,,,,Hostage(s) released by perpetrators,26.0
197104030003,1.0,1.0,2.0,,Unknown,Unknown,0.0,,,,,Hostage(s) released by perpetrators,
197105040001,1.0,0.0,,,Unknown,Bolivia,0.0,,,,,Unknown,
197105080001,1.0,0.0,,,Unknown,Spain,1.0,0.0,,,,Unknown,
197105120001,1.0,1.0,,,Unknown,Bolivia,0.0,,,,,Unknown,
197105170001,1.0,0.0,,,Unknown,Turkey,1.0,0.0,,,,Hostage(s) killed (not during rescue attempt),1.0
197105230001,1.0,0.0,0.0,7.0,Unknown,Argentina,0.0,,,,,Hostage(s) released by perpetrators,1.0
197105290001,1.0,0.0,,,Unknown,Spain,0.0,,,,,Hostage(s) escaped (not during rescue attempt),1.0
197109080001,-99.0,0.0,,,Libya,Libya,0.0,,,,,Hostage(s) released by perpetrators,
197109230001,1.0,0.0,,,Unknown,Iran,0.0,,,,,Unknown,
197110000001,1.0,0.0,,,Unknown,Great Britain,1.0,0.0,,,,Unknown,
197110040002,-99.0,0.0,,,Unknown,Jordan,0.0,,,,,Successful Rescue,
197111040001,1.0,0.0,,,Unknown,Turkey,1.0,0.0,,,,Unknown,
197201010001,1.0,0.0,0.0,21.0,Unknown,Spain,1.0,0.0,,,,Hostage(s) released by perpetrators,1.0
197202160002,-99.0,0.0,,,Unknown,Northern Ireland,0.0,,,,,Hostage(s) killed (not during rescue attempt),
197202190001,-99.0,0.0,,,Libya,Libya,0.0,,,,,Successful Rescue,
197202220004,187.0,0.0,,,Yemen,Yemen,1.0,5000000.0,,,,Hostage(s) released by perpetrators,187.0
197203210001,1.0,0.0,,,Unknown,Argentina,1.0,1000000.0,,0.0,,Hostage(s) killed (not during rescue attempt),1.0
197203260001,3.0,0.0,,,Unknown,Turkey,1.0,0.0,,,,Hostage(s) killed (not during rescue attempt),3.0
197205030004,61.0,0.0,,,Bulgaria,Bulgaria,0.0,,,,,Hostage(s) released by perpetrators,
197205080001,-99.0,0.0,,,Lod Airport in Israel,Lod Airport in Israel,0.0,,,,,Hostage(s) released by perpetrators,105.0
197206020001,1.0,0.0,,,Unknown,Venezuela,1.0,220000.0,,220000.0,,Unknown,
197206020002,-99.0,0.0,,,Unknown,United States,1.0,500000.0,,,,Unknown,
197207230001,-99.0,0.0,,,Unknown,Northern Ireland,0.0,,,,,Hostage(s) killed (not during rescue attempt),
197207280001,1.0,1.0,0.0,1.0,Unknown,Uruguay,0.0,,,,,Hostage(s) released by perpetrators,1.0
197208220003,-99.0,0.0,,,Libya,Libya,0.0,,,,,Unknown,
197208300001,1.0,0.0,0.0,1.0,Unknown,France,1.0,40000.0,,40000.0,,Hostage(s) released by perpetrators,1.0
197209050002,12.0,0.0,0.0,,Unknown,Unknown,0.0,,,,,Hostage(s) killed (not during rescue attempt),
197209150001,-99.0,0.0,,,Spain,Spain,1.0,105000.0,,,,Hostage(s) released by perpetrators,
197209220001,-99.0,0.0,,,Unknown,Unknown,0.0,,,,,Unknown,
197210020004,2.0,0.0,,,Unknown,Northern Ireland,0.0,,,,,Hostage(s) killed (not during rescue attempt),
197210040002,1.0,0.0,,,Unknown,Northern Ireland,0.0,,,,,Unknown,
197210060001,-99.0,0.0,0.0,0.0,Unknown,Unknown,0.0,,,,,Hostage(s) released by perpetrators,
197210220002,-99.0,0.0,,,Bulgaria,Bulgaria,0.0,,,,,Hostage(s) released by perpetrators,
197210290002,20.0,0.0,,,Libya,Libya,0.0,,,,,Unknown,
197211080002,-99.0,0.0,,,Cuba,Cuba,1.0,320000.0,,,,Unknown,
197211240001,-99.0,0.0,,,Unknown,West Germany (FRG),0.0,,,,,Successful Rescue,
197212000001,2.0,0.0,,,Unknown,Colombia,1.0,25000.0,,25000.0,,Hostage(s) released by perpetrators,2.0
197212070003,1.0,0.0,,,Unknown,Northern Ireland,0.0,,,,,Hostage(s) killed (not during rescue attempt),
197212270003,1.0,0.0,0.0,3.0,Unknown,Argentina,1.0,10000000.0,,10000000.0,,Hostage(s) released by perpetrators,1.0
197212280001,6.0,0.0,18.0,0.0,Unknown,Unknown,0.0,,,,,Unknown,
197212280003,1.0,1.0,-99.0,0.0,Unknown,Unknown,1.0,20000.0,20000.0,,,Hostage(s) escaped (not during rescue attempt),
197300000001,1.0,0.0,,,Unknown,Colombia,1.0,20000.0,,20000.0,,Hostage(s) released by perpetrators,1.0
197301060001,3.0,0.0,,,Unknown,Colombia,0.0,,,,,Unknown,
197301080001,2.0,0.0,,,Unknown,Colombia,1.0,1000000.0,,1000000.0,,Unknown,
197301160001,1.0,0.0,0.0,10.0,Unknown,Spain,1.0,700000.0,,700000.0,,Hostage(s) released by perpetrators,1.0
197301230001,2.0,2.0,18.0,0.0,Unknown,Haiti,1.0,1000000.0,,,,Hostage(s) released by perpetrators,1.0
197301230002,2.0,0.0,0.0,12.0,Unknown,Ethiopia,0.0,,,,,Hostage(s) released by perpetrators,2.0
197301310002,1.0,0.0,,,Unknown,Northern Ireland,0.0,,,,,Hostage(s) killed (not during rescue attempt),
197302070002,1.0,0.0,,,Unknown,Northern Ireland,0.0,,,,,Hostage(s) killed (not during rescue attempt),
197302200002,-99.0,0.0,0.0,,Unknown,Unknown,0.0,,,,,Successful Rescue,
197302270002,11.0,11.0,,2.0,Unknown,Unknown,0.0,,,,,Hostage(s) released by perpetrators,
